Id,Domain,Region,Login,Crawling,Save the data to folder
308,elster.de,EU,,,
309,filmweb.pl,EU,,,
310,adac.de,EU,,,
311,xs4all.nl,EU,,,
312,lidl.de,EU,,,
313,skynet.be,EU,,,
314,wdr.de,EU,,,
315,lavozdegalicia.es,EU,,,
316,fu-berlin.de,EU,,,
317,digi24.ro,EU,,,
318,derwesten.de,EU,,,
319,dhnet.be,EU,,,
320,kleinezeitung.at,EU,,,
321,sisal.it,EU,,,
322,tudelft.nl,EU,,,
323,louvre.fr,EU,,,
324,bnf.fr,EU,,,
325,huffingtonpost.es,EU,,,
326,ceneo.pl,EU,,,
327,lavoixdunord.fr,EU,,,
328,journaldesfemmes.fr,EU,,,
329,in.gr,EU,,,
330,willhaben.at,EU,,,
331,obi.de,EU,,,
332,thalia.de,EU,,,
333,google.lv,EU,,,
334,ilgiornale.it,EU,,,
335,ilpost.it,EU,,,
336,letelegramme.fr,EU,,,
337,heraldo.es,EU,,,
338,nic.cz,EU,,,
339,telecinco.es,EU,,,
340,midilibre.fr,EU,,,
341,chefkoch.de,EU,,,
342,leprogres.fr,EU,,,
343,niedersachsen.de,EU,,,
344,google.si,EU,,,
345,funda.nl,EU,,,
346,arbeitsagentur.de,EU,,,
347,rug.nl,EU,,,
348,rtvslo.si,EU,,,
349,unibo.it,EU,,,
350,google.lt,EU,,,
351,inbox.lv,EU,,,
352,carrefour.es,EU,,,
353,tf1.fr,EU,,,
354,immowelt.de,EU,,,
355,is.fi,EU,,,
356,uni-frankfurt.de,EU,,,
357,vanityfair.it,EU,,,
358,muni.cz,EU,,,
359,lepoint.fr,EU,,,
360,redcdn.pl,EU,,,
361,berlin.de,EU,,,
362,cnews.fr,EU,,,
363,kuleuven.be,EU,,,
364,seznamzpravy.cz,EU,,,
365,tvspielfilm.de,EU,,,
366,google.ee,EU,,,
367,decathlon.fr,EU,,,
368,observador.pt,EU,,,
369,allianz.de,EU,,,
370,uni-hamburg.de,EU,,,
371,di.se,EU,,,
372,bazos.sk,EU,,,
373,money.pl,EU,,,
374,paris.fr,EU,,,
375,ticketone.it,EU,,,
376,pracuj.pl,EU,,,
377,windguru.cz,EU,,,
378,blesk.cz,EU,,,
379,immobiliare.it,EU,,,
380,flashscore.pl,EU,,,
381,webgo.de,EU,,,
382,idealista.pt,EU,,,
383,tag24.de,EU,,,
384,gala.de,EU,,,
385,schwaebische.de,EU,,,
386,com.be,EU,,,
387,rtbf.be,EU,Yes,,
388,vodafone.pt,EU,,,
389,manomano.fr,EU,,,
390,heute.at,EU,,,
391,2dehands.be,EU,,,
392,belgium.be,EU,,,
393,videa.hu,EU,,,
394,csfd.cz,EU,,,
395,tu-berlin.de,EU,,,
396,hna.de,EU,,,
397,24.hu,EU,,,
398,nova.cz,EU,,,
399,lanouvellerepublique.fr,EU,,,
400,hotnews.ro,EU,,,
401,atg.se,EU,,,
402,net.hr,EU,,,
403,sdn.cz,EU,,,
404,sportschau.de,EU,,,
405,hvg.hu,EU,,,
406,tcd.ie,EU,,,
407,trovaprezzi.it,EU,,,
408,markt.de,EU,,,
409,sudinfo.be,EU,,,
410,gelderlander.nl,EU,,,
411,portfolio.hu,EU,,,
412,leroymerlin.es,EU,,,
413,snai.it,EU,,,
414,oikotie.fi,EU,,,
415,adevarul.ro,EU,,,
416,inria.fr,EU,,,
417,giallozafferano.it,EU,,,
418,mdr.de,EU,,,
419,allegro.cz,EU,,,
420,telenet.be,EU,,,
421,lindependant.fr,EU,,,
422,sport.cz,EU,,,
423,15min.lt,EU,,,
424,sporza.be,EU,,,
425,24sata.hr,EU,,,
426,gala.fr,EU,,,
427,fakt.pl,EU,,,
428,cyberfolks.pl,EU,,,
429,goplay.se,EU,,,
430,libertatea.ro,EU,,,
431,businessinsider.com.pl,EU,,,
432,ah.nl,EU,,,
433,cmjornal.pt,EU,,,
434,uni-muenchen.de,EU,,,
435,hornbach.de,EU,,,
436,uni-koeln.de,EU,,,
437,super.cz,EU,,,
438,cra.cz,EU,,,
439,radiozet.pl,EU,,,
440,ilmattino.it,EU,,,
441,destentor.nl,EU,,,
442,lacentrale.fr,EU,,,
443,juntadeandalucia.es,EU,,,
444,vecernji.hr,EU,,,
445,agdadrift.se,EU,,,
446,stirileprotv.ro,EU,,,
447,pinterest.de,EU,,,
448,zus.pl,EU,,,
449,hitta.se,EU,,,
450,telekom.hu,EU,,,
451,record.pt,EU,,,
452,creditmutuel.fr,EU,,,
453,sg.fr,EU,,,
454,autoscout24.it,EU,,,
455,gsp.ro,EU,,,
456,aepd.es,EU,,,
457,eurosport.fr,EU,,,
458,donedeal.ie,EU,,,
459,fantacalcio.it,EU,,,
460,fussball.de,EU,,,
461,gamestar.de,EU,,,
462,rmf24.pl,EU,,,
463,ilrestodelcarlino.it,EU,,,
464,decathlon.es,EU,,,
465,slobodnadalmacija.hr,EU,,,
466,ulisboa.pt,EU,,,
467,nordkurier.de,EU,,,
468,nrw.de,EU,,,
469,centrum24.pl,EU,,,
470,voici.fr,EU,,,
471,borsaitaliana.it,EU,,,
472,google.lu,EU,,,
473,azet.sk,EU,,,
474,lidl.es,EU,,,
475,idokep.hu,EU,,,
476,dandomain.dk,EU,,,
477,portaldasfinancas.gov.pt,EU,,,
478,topky.sk,EU,,,
479,filmstarts.de,EU,,,
480,joyn.de,EU,,,
481,esteri.it,EU,,,
482,intersport.fr,EU,,,
483,rp-online.de,EU,,,
484,tportal.hr,EU,,,
485,labanquepostale.fr,EU,,,
